"Application_1","Application_2","injection_rate_1","injection_rate_2","duration","performance_metric","id","points"
85984000,85971000,0.934597812592983,0.327163016423583,77,1.65231822768873,1,20
87066000,86139000,0.825711601413786,0.596688392572105,143,1.5690621233325,2,20
86471000,86283000,0.841445012949407,0.569988417439163,133,1.57226958522287,3,20
86386000,85979000,0.998371174558997,0.504600099287927,114,1.52717371118358,4,20
86553000,85992000,0.921590622514486,0.537118067033589,122,1.54826283710565,5,20
86717000,86193000,0.983820113353431,0.545494956895709,122,1.51843749477051,6,20
86416000,86054000,0.825111506506801,0.515094853006303,114,1.60850374931014,7,20
86313000,86166000,0.895402755588293,0.426769758574665,98,1.61872595476431,8,20
86903000,86774000,0.886473271995783,0.571580923162401,134,1.55423056275119,9,20
86105000,86109000,0.683173581026495,0.454540443606675,102,1.74002550054631,10,20
