"Application_1","Application_2","injection_rate_1","injection_rate_2","duration","performance_metric"
Inf,Inf,0.853076396510005,0.65875056758523,21,Inf
Inf,Inf,0.428704249672592,0.874241478741169,25,Inf
86492000,86413000,0.593655977398157,0.408881701529026,93,1.86199374458634
Inf,Inf,0.941538473591208,0.785170232877135,24,Inf
86639000,86240000,0.044173420406878,0.493695741519332,111,2.72358320186458
362098000,361999000,0.736607205122709,0.03539196588099,139,4.91582317853699
Inf,Inf,0.27667352091521,0.743854532018304,24,Inf
Inf,Inf,0.212050998583436,0.968090649694204,25,Inf
85789000,85756000,0.797098171897233,0.252792086452246,66,1.81020550169747
85844000,85776000,0.483674585819244,0.218190297484398,60,2.28287565666635
86501000,86327000,0.506168386898935,0.502828791737556,104,1.85522304876665
85984000,85971000,0.934597812592983,0.327163016423583,77,1.65231822768873
Inf,Inf,0.0821468969807029,0.893108731135726,24,Inf
86932000,86473000,0.636156858876348,0.577383795753121,139,1.69106002197076
89813000,89809000,0.346152563579381,0.143270382657647,52,2.94133254951181
86204000,86537000,0.156274694949389,0.426099296659231,97,2.58081464845429
Inf,Inf,0.821407738141716,0.853376712650061,25,Inf
Inf,Inf,0.396903885528445,0.676197990775108,21,Inf
124300000,124266000,0.624468290247023,0.103416278958321,63,2.61667420869333
Inf,Inf,0.973333100788295,0.733733145520091,23,Inf
Inf,Inf,0.0150065300986171,0.726772567257285,23,Inf
86577000,86348000,0.419714111834764,0.388622546568513,88,2.10173331323092
Inf,Inf,0.968864663504064,0.885528531856835,25,Inf
Inf,Inf,0.548417690210044,0.841502093710005,25,Inf
86219000,85742000,0.121352903544903,0.338403074070811,76,3.03487188044815
86928000,86637000,0.467619805596769,0.561776475980878,126,1.83926818266567
232467000,232575000,0.893555615097284,0.0551403956487775,97,3.37928842836146
Inf,Inf,0.787727195769548,0.650909531861544,21,Inf
85821000,86057000,0.354944034479558,0.154040980152786,50,2.82408438441588
Inf,Inf,0.197151727974415,0.992648779414594,27,Inf
86222000,86060000,0.62911086063832,0.499313466250896,110,1.74760145845318
87066000,86139000,0.825711601413786,0.596688392572105,143,1.5690621233325
131102000,131059000,0.250308277085423,0.0978646911680698,64,4.18294066583358
Inf,Inf,0.158952807076275,0.751902170479298,23,Inf
85757000,85933000,0.733470944687724,0.256615771912038,67,1.86846254055229
Inf,Inf,0.588572664186358,0.910373551771045,25,Inf
85912000,86054000,0.0228473739698529,0.409225859679282,87,3.17425246851155
Inf,Inf,0.427677558735013,0.694122706539929,22,Inf
85816000,85934000,0.992334791459143,0.189441533759236,56,1.70493381555005
581876000,581944000,0.540698920376599,0.0220096465200186,207,7.59621884771024
86471000,86283000,0.841445012949407,0.569988417439163,133,1.57226958522287
85834000,85828000,0.552545447833836,0.425671052187681,95,1.88057858775946
Inf,Inf,0.451962736435235,0.957151780836284,26,Inf
Inf,Inf,0.236851481720805,0.7910934118554,24,Inf
85914000,85727000,0.75930823944509,0.326083663851023,77,1.77953120205034
Inf,Inf,0.595602553337812,0.681278104893863,22,Inf
85833000,85995000,0.401262436062098,0.217149551957846,59,2.47618497870722
197885000,197852000,0.646276080980897,0.0648003723472357,81,3.38500354046015
86443000,86136000,0.358185963705182,0.536771819926798,119,1.98026614117465
85879000,85952000,0.00649247318506241,0.455015493556857,100,3.02596483225412
Inf,Inf,0.997699230909348,0.927807101048529,25,Inf
256240000,256286000,0.517048317939043,0.0500242738053203,106,4.32607266070754
87041000,87531000,0.478958930820227,0.582783047109842,140,1.8147084158925
85787000,85946000,0.127050613984466,0.406787927262485,93,2.73189055929398
Inf,Inf,0.868258101865649,0.944769021123648,26,Inf
Inf,Inf,0.115437641739845,0.839320948347449,26,Inf
85906000,85957000,0.887895129621029,0.309121952392161,74,1.69472496617873
Inf,Inf,0.723975570872426,0.696053994819522,22,Inf
85843000,85908000,0.27963618375361,0.171138354577124,53,3.0771589136352
161661000,161909000,0.0333197498694062,0.0793041000142694,75,10.4969639801459
Inf,Inf,0.281821432523429,0.910082171671093,25,Inf
86386000,85979000,0.998371174558997,0.504600099287927,114,1.52717371118358
85910000,85888000,0.0555917304009199,0.184740593656898,56,5.01989512967963
Inf,Inf,0.458842844702303,0.620408944785595,19,Inf
85800000,85711000,0.518932052887976,0.190266543067992,55,2.26759727264726
86121000,85988000,0.200813826173544,0.349168007262051,83,2.67878687492386
Inf,Inf,0.760841984301805,0.964924041181803,25,Inf
Inf,Inf,0.0763663109391928,0.752359247766435,25,Inf
85932000,86012000,0.883342547342181,0.433544969186187,96,1.61908629928442
457532000,457653000,0.334267581813037,0.0279932264238596,169,7.33636713799153
Inf,Inf,0.641548979096115,0.661327387206256,22,Inf
86011000,85800000,0.780880414880812,0.229366474784911,61,1.84891204408443
87102000,86859000,0.212063179351389,0.581322841346264,139,2.130225493823
Inf,Inf,0.507720354944468,0.988400403410196,26,Inf
85984000,85946000,0.438842099159956,0.325708334334195,78,2.16760818848705
86257000,86425000,0.629360256716609,0.394504642114043,91,1.84010135951637
Inf,Inf,0.315242907032371,0.791382885538042,23,Inf
Inf,Inf,0.902403923682868,0.637913490645587,19,Inf
249421000,249431000,0.0885917646810412,0.0513932947069407,104,9.63787950033828
Inf,Inf,0.429199744015932,0.737063068896532,23,Inf
Inf,Inf,0.386390867643058,0.849823313765228,25,Inf
86333000,86245000,0.246058214455843,0.453630560077727,103,2.2920968651046
Inf,Inf,0.681514487601817,0.645699718035758,19,Inf
139489000,139335000,0.00817136187106371,0.0921041993424296,69,11.3666396039635
Inf,Inf,0.572716988623142,0.777245896868408,23,Inf
86399000,86256000,0.806804447434843,0.419291668571532,94,1.67887174396261
Inf,Inf,0.367197776213288,0.727462806738913,22,Inf
Inf,Inf,0.154058707877994,0.958038761280477,25,Inf
90947000,90961000,0.718665371648967,0.141352980397642,52,2.07230588472824
86553000,85992000,0.921590622514486,0.537118067033589,122,1.54826283710565
86073000,85861000,0.482044988311827,0.347368453629315,83,2.06534132075846
Inf,Inf,0.41671393532306,0.639301131479442,20,Inf
86202000,85870000,0.977170206606388,0.448311771266162,101,1.56187711177187
Inf,Inf,0.649184911511838,0.87273667845875,24,Inf
234060000,234015000,0.213789666071534,0.0547805735841393,97,6.06379573821013
85909000,85701000,0.311678124591708,0.255845910869539,66,2.62008990935338
86017000,86321000,0.872073362581432,0.562784931622446,133,1.558622933405
85815000,85763000,0.513047929853201,0.241173324175179,62,2.18376088292578
Inf,Inf,0.0775916511192918,0.925052327103913,25,Inf
86030000,85982000,0.748980795033276,0.367317981086671,84,1.7558775189225
92430000,92516000,0.00273735262453556,0.138974715955555,51,7.98129201352274
85761000,85768000,0.666679047048092,0.273558269254863,68,1.92120627613828
Inf,Inf,0.449885503388941,0.623059253208339,17,Inf
85967000,85856000,0.53227936476469,0.217630013823509,60,2.19260945753383
Inf,Inf,0.319393024779856,0.930446401238441,26,Inf
86717000,86193000,0.983820113353431,0.545494956895709,122,1.51843749477051
85948000,85758000,0.134207407012582,0.320841504260898,77,3.05609596538479
Inf,Inf,0.693785481154919,0.827842774800956,25,Inf
314882000,314829000,0.406664178706706,0.0406897393986583,122,5.38392158454945
86130000,85790000,0.757861825637519,0.437478450126946,96,1.69618186733519
Inf,Inf,0.107482174411416,0.712794539518654,22,Inf
86121000,86197000,0.0322837866842747,0.262841808609664,61,4.24997791330186
86620000,86434000,0.819382202811539,0.604717033915222,154,1.5674682557188
Inf,Inf,0.483811824582517,0.997475546784699,26,Inf
85797000,85863000,0.634214362129569,0.151819896884263,51,2.13050917985765
Inf,Inf,0.193776670843363,0.652626097202301,19,Inf
86266000,86193000,0.906670642085373,0.494470864534378,111,1.57599878743008
121676000,121872000,0.257866769097745,0.105492977425456,63,3.96983350944477
Inf,Inf,0.607471844181418,0.759867904707789,23,Inf
85845000,85969000,0.378593563102186,0.416761730797589,95,2.11636973468438
86168000,86180000,0.550613687373698,0.554522805847228,125,1.76660560360114
86212000,86177000,0.841388134285808,0.149379096925259,50,1.87126380718103
Inf,Inf,0.101108156144619,0.851662738248706,26,Inf
85856000,86002000,0.89100437425077,0.399078719317913,86,1.63443386862768
86806000,87441000,0.166501268744469,0.601823879405856,159,2.17276730361835
85942000,85970000,0.441648571752012,0.194726987741888,57,2.43095912914834
Inf,Inf,0.748183154501021,0.8042376274243,24,Inf
Inf,Inf,0.795517113991082,0.691624059341848,22,Inf
86237000,86300000,0.0200203312560916,0.301595860160887,75,3.97198119430599
Inf,Inf,0.369876850396395,0.902311526238918,25,Inf
122861000,122733000,0.563342140987515,0.104595644399524,61,2.72511542563354
Inf,Inf,0.195347803644836,0.659212505444884,21,Inf
85833000,85837000,0.98641010094434,0.331924572587013,80,1.61688273078326
Inf,Inf,0.652670735493302,0.996849284507334,25,Inf
1077476000,1077560000,0.412389930337667,0.0118812983855605,357,13.1321628267859
86476000,86845000,0.116173677146435,0.499609307385981,111,2.49055373700405
86416000,86054000,0.825111506506801,0.515094853006303,114,1.60850374931014
85845000,85792000,0.533854679204524,0.156581884250045,51,2.30654398463509
Inf,Inf,0.274135372601449,0.828840538859367,25,Inf
85845000,85986000,0.733754747547209,0.406287228688598,93,1.73631568429498
Inf,Inf,0.729511328041553,0.931101649999619,26,Inf
228599000,228482000,0.825468770228326,0.056085791438818,96,3.41976473617885
Inf,Inf,0.270281683653593,0.745067154057324,24,Inf
86931000,86973000,0.249887616373599,0.60468549374491,177,2.03969489569889
85923000,86035000,0.662481749430299,0.164729163050652,52,2.06867153784242
Inf,Inf,0.750134323723614,0.789745222777128,24,Inf
86387000,86284000,0.337524918839335,0.479669918306172,106,2.0870533820077
153442000,153502000,0.0489698024466634,0.0836043208837509,72,9.07767012389183
Inf,Inf,0.605126207694411,0.64648509863764,19,Inf
85891000,85825000,0.951067441143095,0.271591355092824,68,1.67646967051037
Inf,Inf,0.394926192238927,0.95849759504199,26,Inf
1120529000,1121086000,0.749395250342786,0.0114208739250898,384,12.5224530318303
Inf,Inf,0.162972930818796,0.695486164651811,22,Inf
86006000,85925000,0.250613386742771,0.32050224673003,72,2.61061389762161
Inf,Inf,0.83705085515976,0.886405261233449,25,Inf
86031000,86322000,0.549464675597847,0.551876462064683,127,1.76974888056437
85882000,85985000,0.104636333882809,0.240735856816173,63,3.75476209844748
Inf,Inf,0.450589693151414,0.865842076018453,25,Inf
86313000,86166000,0.895402755588293,0.426769758574665,98,1.61872595476431
85915000,85634000,0.624764547683299,0.285901776514947,73,1.95584204545779
132815000,132785000,0.814510963857174,0.0967330010607839,65,2.42540095792024
85945000,86390000,0.235378637909889,0.474487739615142,108,2.2703908254861
Inf,Inf,0.667114141397178,0.638991904444993,20,Inf
Inf,Inf,0.541191475465894,0.86485305801034,26,Inf
434407000,434512000,0.109584690071642,0.0294797960668802,163,11.5355035329226
85898000,86069000,0.940669187344611,0.399177897721529,84,1.60618882734787
Inf,Inf,0.399559641256928,0.737739304080606,23,Inf
86397000,86460000,0.789573341608047,0.538184232078493,121,1.61743453559141
86146000,85827000,0.361927199177444,0.324868165887892,78,2.31590278194523
85871000,85824000,0.689045841805637,0.197539708577096,57,1.98639773635444
Inf,Inf,0.151908315718174,0.908157833851874,25,Inf
Inf,Inf,0.432790829800069,0.850506874732673,26,Inf
982297000,982382000,0.96993025764823,0.0130338640883565,342,10.8407261292719
86362000,86369000,0.0803120918571949,0.386434006504714,90,3.00614746755269
Inf,Inf,0.507956332527101,0.718775314278901,22,Inf
86173000,86200000,0.181177017278969,0.551202893257141,117,2.22727656524622
85833000,86038000,0.722284657880664,0.343618182465434,80,1.7975268128036
85853000,85811000,0.328699683770537,0.212099388241768,60,2.70743559903203
Inf,Inf,0.760308374650776,0.924329472705722,26,Inf
86903000,86774000,0.886473271995783,0.571580923162401,134,1.55423056275119
Inf,Inf,0.365243665874004,0.645035608671606,21,Inf
Inf,Inf,0.656292400322855,0.765993730165064,23,Inf
132442000,132546000,0.0723011968657374,0.0969009483233094,65,7.23503055400991
86550000,86011000,0.0317254047840834,0.57624726742506,136,2.5076157714552
85901000,86040000,0.697749400511384,0.309850364923477,76,1.85216255537509
85842000,85754000,0.277800132520497,0.181327668949962,55,3.03602279505026
Inf,Inf,0.990684227086604,0.948209231719375,26,Inf
Inf,Inf,0.471381491050124,0.861061956733465,25,Inf
4555309000,4555733000,0.758497627452016,0.00280976668000221,1374,46.8687398667894
86099000,86524000,0.217509877867997,0.380874866619706,87,2.53428059907645
Inf,Inf,0.551485636271536,0.739618869498372,23,Inf
86847000,86545000,0.567717280238867,0.52479840721935,118,1.78227866450956
85982000,85771000,0.17122607678175,0.353753707371652,82,2.76360025306147
86005000,85891000,0.868517181836069,0.233257153071463,62,1.76710687813374
Inf,Inf,0.393916594795883,0.903810010291636,25,Inf
Inf,Inf,0.882426831871271,0.787892262451351,24,Inf
153635000,153664000,0.357027649879456,0.0835860250517726,68,3.80605687902267
86105000,86109000,0.683173581026495,0.454540443606675,102,1.74002550054631
Inf,Inf,0.0796645386144519,0.6583619909361,21,Inf
92219000,92121000,0.0584958847612143,0.139649961143732,51,5.96848760956571
