"Application_1","Application_2","injection_rate_1","injection_rate_2","duration","performance_metric","id","points"
86301000,86307000,0.934812642633915,0.467921062372625,104,1.14441368497447,1,20
86467000,86573000,0.87963876966387,0.544405116699636,127,1.13482554906902,2,20
86042000,86085000,0.863367116078734,0.565936057828367,131,1.12995912835127,3,20
85859000,85989000,0.833686604164541,0.380998939275742,88,1.25287833661258,4,20
86167000,86406000,0.918094004504383,0.4274259544909,95,1.17463960987202,5,20
86939000,86588000,0.719108357094228,0.480037488974631,106,1.26774441829629,6,20
86303000,86476000,0.965273869223893,0.506566813215613,115,1.1113688612458,7,20
87392000,86847000,0.662782096303999,0.61336194165051,195,1.21920810370808,8,20
86257000,86673000,0.887863826937973,0.550976526923478,129,1.12732913810071,9,20
86925000,86994000,0.740429054014385,0.590032906271517,142,1.1864161331138,10,20
