"Application_1","Application_2","injection_rate_1","injection_rate_2","duration","performance_metric"
86105000,86478000,0.167478610761464,0.567869301885366,129,1.79135800804737
Inf,Inf,0.716751202940941,0.780336090363562,24,Inf
86617000,86588000,0.361068831756711,0.400870749726892,92,1.74545252057599
85761000,85854000,0.202527501620352,0.298299291171134,74,2.4257357884966
Inf,Inf,0.846845130436122,0.925876358523965,25,Inf
Inf,Inf,0.271121425554156,0.732875912450254,23,Inf
122804000,122803000,0.681552331894636,0.104594077914953,61,1.88604518787332
98760000,98589000,0.448928874917328,0.130162620916963,54,2.22021533432502
86176000,85971000,0.601547284983099,0.500140809454024,113,1.33806542743465
Inf,Inf,0.0170575175434351,0.838176768273115,25,Inf
86301000,86307000,0.934812642633915,0.467921062372625,104,1.14441368497447
86197000,86390000,0.0443092761561275,0.516164937056601,118,2.21567090566221
87819000,87894000,0.876065866090357,0.146363178268075,51,1.41734548199157
86284000,86245000,0.491809565573931,0.452697067521513,102,1.49007631385379
Inf,Inf,0.589679440483451,0.823129203170538,25,Inf
Inf,Inf,0.290558657608926,0.91083356179297,25,Inf
85771000,86015000,0.630616028793156,0.283066713251173,71,1.52393680512848
106484000,106320000,0.237593427300453,0.120803218334913,57,3.32221468572522
Inf,Inf,0.842787520959973,0.748895271681249,22,Inf
86374000,86082000,0.720569261349738,0.583827566355467,131,1.19777786568638
86206000,85968000,0.373309160582721,0.557164750061929,127,1.50515615935758
85968000,85862000,0.242725912481546,0.448297644965351,99,1.87670366764582
Inf,Inf,0.910480218939483,0.926720265299082,26,Inf
85870000,85777000,0.634697645902634,0.436920733191073,97,1.36228551905332
Inf,Inf,0.458221069537103,0.938051341101527,26,Inf
267498000,267413000,0.0820236578583717,0.0479408968240023,108,9.03168312039352
86415000,86478000,0.76480024959892,0.577086609788239,135,1.17745181040945
Inf,Inf,0.135459116660058,0.715773980133235,23,Inf
86015000,85974000,0.95939639210701,0.159223485738039,51,1.32393122521632
Inf,Inf,0.578757881186903,0.830614440143108,23,Inf
86139000,85925000,0.262192465364933,0.294388628564775,73,2.2268433780493
85826000,85708000,0.841353645548224,0.188095947727561,55,1.40022787492254
Inf,Inf,0.00128945801407099,0.686907180584967,20,Inf
86208000,86077000,0.382430611178279,0.327039544470608,78,1.84021505911102
Inf,Inf,0.714119591750205,0.797957742586732,25,Inf
Inf,Inf,0.342590958811343,0.909209337085485,27,Inf
86628000,86101000,0.501990845426917,0.465817990712821,103,1.46508440323769
86467000,86573000,0.87963876966387,0.544405116699636,127,1.13482554906902
159294000,159271000,0.211035965010524,0.0805670171976089,73,4.22573270937374
86497000,86687000,0.489879799075425,0.587029089219868,144,1.36154366280453
Inf,Inf,0.142153724096715,0.801769501529634,24,Inf
Inf,Inf,0.788190213032067,0.637665103189647,20,Inf
85967000,85738000,0.289555827155709,0.282395688816905,67,2.17766244662744
85976000,85736000,0.50888452026993,0.359544574283063,84,1.58078448812949
Inf,Inf,0.00635912083089352,0.71676711179316,23,Inf
Inf,Inf,0.921909008175135,0.847668504342437,25,Inf
86240000,85967000,0.437083917669952,0.197110998444259,58,2.00731979625163
87349000,87197000,0.716791574843228,0.611245268024504,186,1.18935615786624
85944000,86130000,0.205461906269193,0.465080361813307,104,1.92151529728257
129221000,129215000,0.848569631576538,0.0993843376636505,64,1.7009935422063
Inf,Inf,0.354940286837518,0.945378352887928,25,Inf
85823000,85751000,0.0219533890485764,0.245825012214482,64,4.16336613889394
Inf,Inf,0.525272197090089,0.834403216838837,25,Inf
Inf,Inf,0.421307076700032,0.733973633497953,24,Inf
85929000,86053000,0.907169701531529,0.314706944860518,75,1.24836821949543
Inf,Inf,0.190053600817919,0.994627851061523,26,Inf
149887000,149935000,0.700223657302558,0.0856169518083334,71,2.0220776825977
86364000,86628000,0.370653227902949,0.482730815187097,108,1.6042853648848
86042000,86085000,0.863367116078734,0.565936057828367,131,1.12995912835127
86520000,86180000,0.0835527004674077,0.518083987757564,120,2.09388267836164
Inf,Inf,0.995657483115792,0.759558292105794,23,Inf
128405000,128470000,0.577584403567016,0.0999453570693731,64,2.11813742589067
Inf,Inf,0.367410706356168,0.633948067203164,21,Inf
86314000,85856000,0.73718710616231,0.41202050819993,92,1.30058978789601
Inf,Inf,0.443030943162739,0.822849415242672,24,Inf
354152000,354372000,0.110679816454649,0.0361661426723003,135,8.58116711793059
Inf,Inf,0.818476778455079,0.697727218270302,22,Inf
86458000,86580000,0.184891935437918,0.566531515680254,130,1.76340254734488
85898000,86004000,0.88487443048507,0.167302782647312,53,1.38016524222807
Inf,Inf,0.561414454132318,0.942141993902624,28,Inf
85868000,85896000,0.259443824179471,0.292668866924942,71,2.2406344404302
96433000,96356000,0.544236546382308,0.133412509225309,53,1.95766259611228
86715000,86733000,0.275408065877855,0.601489844731987,151,1.57400360440903
85806000,85866000,0.170881180092692,0.258290312252939,67,2.7592508873614
Inf,Inf,0.900099574588239,0.975635479204357,26,Inf
Inf,Inf,0.0966538619250059,0.85286396369338,26,Inf
85859000,85989000,0.833686604164541,0.380998939275742,88,1.25287833661258
Inf,Inf,0.720024516806006,0.72823004797101,22,Inf
1936569000,1936798000,0.459010384045541,0.00660941749811172,604,11.8310924843644
Inf,Inf,0.590688691474497,0.791036671027541,26,Inf
86069000,86366000,0.367849045433104,0.356993161141872,85,1.81069811170154
444988000,445017000,0.780888613313437,0.028781583532691,164,3.46008327807144
Inf,Inf,0.0692462986335158,0.644024017266929,20,Inf
Inf,Inf,0.16430492978543,0.922065267339349,24,Inf
86214000,86269000,0.985802866518497,0.310737668536603,75,1.20249075182483
166775000,166857000,0.396951300092041,0.0769251147285104,77,2.94433484435363
Inf,Inf,0.702345451340079,0.688257548958063,22,Inf
86191000,85745000,0.0073738181963563,0.438963654451072,99,2.67029719053914
Inf,Inf,0.84254746325314,0.827622702345252,24,Inf
86369000,86218000,0.306430510245264,0.562054239213467,131,1.58289819653582
85814000,85776000,0.594242703169584,0.173373323865235,54,1.73170965480241
Inf,Inf,0.753487945534289,0.94226632732898,26,Inf
86057000,85886000,0.0887283626943827,0.32312997430563,77,2.85787682160468
226147000,226189000,0.560393153689802,0.0567241217941046,95,2.75127754036194
Inf,Inf,0.348260644823313,0.675865176133811,23,Inf
86167000,86406000,0.918094004504383,0.4274259544909,95,1.17463960987202
Inf,Inf,0.239658683538437,0.808276251889765,25,Inf
86309000,86534000,0.642964337952435,0.573592006228864,134,1.25409984320953
85912000,86071000,0.448413817211986,0.192719707265496,56,1.98969499901004
86279000,86268000,0.287093887105584,0.474680784158409,106,1.74409163972589
85948000,85776000,0.473649795167148,0.267697508446872,67,1.77820544364033
Inf,Inf,0.0730042960494757,0.808626092039049,24,Inf
200906000,201070000,0.569548108614981,0.0638217888772488,86,2.58379621650067
Inf,Inf,0.375288865529001,0.93422871734947,26,Inf
85848000,85866000,0.888418264687061,0.189409110695124,55,1.35707735603049
Inf,Inf,0.533662145026028,0.734265439212322,23,Inf
86252000,86019000,0.0464416984468699,0.393254312686622,90,2.70497604872256
86221000,85908000,0.641188926063478,0.318582247942686,76,1.47223751795779
86742000,86538000,0.153709076344967,0.558015487156808,128,1.83823791955679
610029000,610176000,0.299439330585301,0.0209936005994678,208,6.17129036856238
Inf,Inf,0.811851570382714,0.851735547184944,26,Inf
85934000,85920000,0.0930187273770571,0.311545794829726,77,2.90142860796465
86950000,86235000,0.580774080939591,0.564788249321282,131,1.30589623183131
121503000,121429000,0.997511386871338,0.10571634862572,62,1.51376116359783
Inf,Inf,0.484884708188474,0.76667376793921,23,Inf
Inf,Inf,0.827728750184178,0.942969371564686,26,Inf
85800000,85692000,0.314873185940087,0.180464847013354,55,2.44755337610444
Inf,Inf,0.232100680470467,0.647327290847898,21,Inf
86939000,86588000,0.719108357094228,0.480037488974631,106,1.26774441829629
86471000,86578000,0.288215027190745,0.52192304469645,118,1.66697999374243
85845000,85872000,0.682447958737612,0.188063537701964,55,1.57804240633672
Inf,Inf,0.781387258321047,0.971539388410747,26,Inf
86150000,86011000,0.118740966543555,0.369804229587317,82,2.47729602780396
Inf,Inf,0.280473127029836,0.934109639376402,26,Inf
85801000,85888000,0.568849933333695,0.286079193465412,71,1.59891010175951
86303000,86476000,0.965273869223893,0.506566813215613,115,1.1113688612458
85739000,85725000,0.130630507133901,0.155089349485934,52,3.92859175773762
Inf,Inf,0.721138975583017,0.803251848556101,24,Inf
85902000,86118000,0.433374424465001,0.420842802152038,96,1.6007124133071
Inf,Inf,0.0324357943609357,0.637427936308086,19,Inf
630100000,630272000,0.867683789692819,0.0203214548528194,224,4.27704947524214
86103000,85787000,0.156654056161642,0.304393845610321,76,2.59869702255267
Inf,Inf,0.994007764384151,0.921652916818857,26,Inf
92951000,93076000,0.596853075549006,0.138234295882285,53,1.82545000535157
86482000,85852000,0.307226952165365,0.521467326208949,113,1.6375526353163
86060000,86078000,0.841003213077784,0.435255510732532,99,1.21388518769366
Inf,Inf,0.00449827872216702,0.78688555303961,24,Inf
1735123000,1735294000,0.404706632718444,0.00737692788243294,579,11.1027347915873
Inf,Inf,0.695189151912928,0.656231346540153,22,Inf
146281000,146287000,0.907702592201531,0.0877145109698176,69,1.73602399646947
86616000,86307000,0.350526725873351,0.536999915726483,116,1.55903424050373
97300000,97331000,0.206497916951776,0.13213353510946,54,3.43964046539509
Inf,Inf,0.543239569291472,0.789316614158452,24,Inf
86114000,86121000,0.0874122278764844,0.463965311646461,102,2.24422684567448
87392000,86847000,0.662782096303999,0.61336194165051,195,1.21920810370808
85787000,85897000,0.768753339536488,0.209687858819962,60,1.45124382449529
