"Application_1","Application_2","injection_rate_1","injection_rate_2","duration","performance_metric","id","points"
85776000,85920000,0.4609375,0.3203125,76,2.13848,1,20
85776000,85920000,0.4609375,0.3203125,77,2.13848,2,20
85776000,85920000,0.4609375,0.3203125,77,2.13848,3,20
85776000,85920000,0.4609375,0.3203125,77,2.13848,4,20
85776000,85920000,0.4609375,0.3203125,75,2.13848,5,20
85776000,85920000,0.4609375,0.3203125,76,2.13848,6,20
85776000,85920000,0.4609375,0.3203125,77,2.13848,7,20
85776000,85920000,0.4609375,0.3203125,78,2.13848,8,20
85776000,85920000,0.4609375,0.3203125,78,2.13848,9,20
85776000,85920000,0.4609375,0.3203125,77,2.13848,10,20
