"Application_1","Application_2","injection_rate_1","injection_rate_2","packets_1","packets_2","duration","performance_metric"
6052000,5697000,0.914554425515234,0.822684458456933,16448,16448,301,2.36140550100195
86498000,86798000,0.508952773176134,0.387038050219417,133240,133240,110,4.36765896248092
86167000,86532000,0.226310973055661,0.501010357402265,172360,172360,136,3.8798251498582
86028000,85986000,0.0377626903355122,0.334145510569215,114808,114808,96,6.43452402546742
95971000,89869000,0.695555588230491,0.714299525134265,257376,257376,351,2.51443385907958
447556000,447563000,0.853109948337078,0.0286223459988832,51240,51240,195,44.8069940785131
37110000,7666000,0.381841147318482,0.890702324919403,17800,17800,435,7.07459181571648
216535000,216524000,0.425677170976996,0.0592215545475483,51248,51248,110,23.1879399870639
13937000,12458000,0.841248709708452,0.923828055150807,18472,18472,471,4.13884621131608
85874000,86150000,0.746926600113511,0.366949137300253,125836,125836,104,4.31538914852022
97869000,93196000,0.0178781971335411,0.74473160225898,266192,266192,464,3.10571504326706
86407000,86086000,0.206405558623374,0.419647417962551,144436,144436,119,4.58293922755347
86904000,86254000,0.560359965078533,0.532117449678481,183528,183528,155,3.27409163138904
85869000,85933000,0.902729486115277,0.225452855229378,77312,77312,73,6.44185804976718
7553000,14295000,0.362250871025026,0.855005101300776,17072,17072,397,4.02091071154233
85916000,85731000,0.308145393617451,0.299234735779464,102604,102604,88,5.8286841246187
93300000,89198000,0.958124361000955,0.686714159324765,243844,243844,277,2.4790152197977
108735000,108694000,0.613970094360411,0.118223304860294,51336,51336,67,11.9542839980552
7772000,6671000,0.150514270178974,0.988605255261064,19760,19760,633,2.70517363428492
85916000,85927000,0.0890702400356531,0.159629969857633,54684,54684,61,11.8770881275806
7281000,14975000,0.677374847233295,0.795094994828105,15892,15892,307,4.18026370219331
86469000,86292000,0.769576525315642,0.476635358296335,163856,163856,130,3.43829801234542
87164000,88426000,0.494747702032328,0.598909160122275,208580,208580,184,3.01895174416126
86718000,86954000,0.482856611721218,0.148193842731416,51340,51340,60,10.0416129876775
4730000,7115000,0.750873752869666,0.775982981547713,15532,15532,252,2.56148806730033
86202000,86225000,0.657528198324144,0.465473904274404,160080,160080,135,3.58329574517045
86931000,86577000,0.0779873179271817,0.58007181994617,199792,199792,166,3.69072821502015
86100000,85785000,0.139460492879152,0.256701449863613,87964,87964,81,7.40931529354777
87090000,86586000,0.594094296917319,0.636260369792581,220104,220104,211,2.78543214894446
168989000,169095000,0.939393512904644,0.0759036270901561,51276,51276,91,17.4684733945873
48897000,15179000,0.296282375231385,0.938365073874593,18748,18748,509,9.35432587899805
86586000,86225000,0.349728442728519,0.399468004703522,137328,137328,111,4.48071688704434
86582000,86375000,0.883345792070031,0.519856632687151,178964,178964,145,3.12874202850206
85729000,85768000,0.540168080478907,0.205487079918385,70328,70328,70,7.43742970998592
44986000,42089000,0.195026999339461,0.842957922257483,16844,16844,409,13.8871465232032
1623739000,1623774000,0.00647156592458487,0.0078839473426342,51204,51204,625,228.217231318514
12658000,12152000,0.726762791164219,0.880164426751435,17588,17588,475,4.14885791509352
85953000,85751000,0.821894164197147,0.315886173397303,108208,108208,92,4.84589377430743
88651000,86834000,0.41312559787184,0.701342617161572,243044,243044,310,2.70236332683353
85891000,86139000,0.394468535669148,0.346298517659307,118652,118652,96,4.97462756870597
16107000,12653000,0.87254127021879,0.734159412793815,14704,14704,201,5.51221935940497
312585000,312578000,0.715642624534667,0.0409889910370111,51232,51232,142,31.8281176910589
48868000,22397000,0.0490935100242496,0.910775850526989,18212,18212,489,10.8245066597867
86045000,85971000,0.237612763419747,0.237795038148761,81508,81508,77,7.37950380056266
34040000,7740000,0.52906883507967,0.87388567533344,17464,17464,389,6.69365642822425
86033000,86327000,0.93401393853128,0.430563366040587,147976,147976,117,3.64478636113564
86191000,87126000,0.331035081297159,0.552486217580736,190084,190084,154,3.41131369967945
121457000,121446000,0.276860466226935,0.105781798250973,51324,51324,73,14.4452498745021
14894000,43658000,0.989340621978045,0.969762686640024,19408,19408,536,8.0526882228941
86029000,86070000,0.582762414589524,0.288295757956803,99072,99072,97,5.4908049118159
87308000,88544000,0.181805871427059,0.666429173201323,230944,230944,245,3.08254017315998
87778000,87121000,0.120353736914694,0.497369983233511,171896,171896,152,4.16252135424164
86418000,87204000,0.646160016767681,0.609458543360233,209768,209768,188,2.86563477296907
85853000,85703000,0.800784681923687,0.177900762297213,60956,60956,62,8.05783755689102
4883000,6601000,0.463455623947084,0.808048099279404,16160,16160,306,2.56307927801079
85943000,85968000,0.461732962168753,0.176790991798043,60600,60600,63,8.65814991214487
5062000,5569000,0.802995632402599,0.805007378570735,16084,16084,280,2.27430793537725
86261000,86273000,0.648370300419629,0.498465092852712,171584,171584,142,3.38580633468361
88395000,87560000,0.118631727062166,0.612513693980873,211500,211500,202,3.44756330583642
86082000,85810000,0.180113961920142,0.28523320518434,97696,97696,88,6.54757802523485
