"Application_1","Application_2","injection_rate_1","injection_rate_2","packets_1","packets_2","duration","performance_metric"
99215000,90357000,0.691160786896944,0.733358395285904,268264,268264,458,2.46864648419415
86385000,86438000,0.0732610393315554,0.476574596948922,163872,163872,128,4.45528008179485
86763000,86859000,0.185351171530783,0.501168345101178,172920,172920,138,3.96677203024368
85969000,85984000,0.5522151729092,0.257587154395878,88332,88332,79,6.10153705793742
25501000,24928000,0.806652516126633,0.788960025645792,15764,15764,292,8.62421285423762
396665000,396645000,0.424531107768416,0.0323010692372918,51240,51240,173,40.8945887569317
86918000,87268000,0.451918998733163,0.666710463352501,230404,230404,225,2.7839573158106
86030000,86115000,0.818819236010313,0.418215018697083,143628,143628,115,3.80475414412093
15854000,37874000,0.571336599998176,0.887089737690985,17744,17744,426,8.25555333475213
95079000,94928000,0.18917513359338,0.135345154441893,51316,51316,61,12.3381847480063
28620000,21840000,0.0541968923062086,0.847314924933016,16948,16948,329,8.5526039482773
129796000,129772000,0.687271915376186,0.0989386597648263,51320,51320,75,13.916506881921
86468000,86579000,0.922549477778375,0.56781726051122,195804,195804,165,2.88041737470086
86303000,86269000,0.304731742478907,0.315945749171078,108276,108276,90,5.59568219447048
6253000,6958000,0.283754985779524,0.817773196846247,16348,16348,318,2.9281074101977
194452000,194295000,0.916183421388268,0.0659827776253223,51268,51268,98,19.9747679816135
86233000,86616000,0.661495302803814,0.597355648875237,205804,205804,185,2.89405501108355
86015000,85922000,0.0448162583634257,0.348905920982361,119668,119668,97,6.13182058065095
87480000,87237000,0.214035324752331,0.637172542512417,219772,219772,211,3.16228137866781
85944000,85767000,0.581631748005748,0.385255314409733,132036,132036,105,4.28546253243312
42665000,40386000,0.840712533332407,0.916631948202848,18312,18312,480,11.9073704529748
85744000,85805000,0.457370421849191,0.168301519006491,57632,57632,61,9.03985059883024
86490000,87149000,0.414197857491672,0.53901132941246,185560,185560,151,3.3884792363064
85998000,85968000,0.781830516643822,0.282242730259895,96680,96680,82,5.38656813057241
19091000,4009000,0.546801911666989,0.751121331006289,15000,15000,235,4.62046158595661
1675182000,1675344000,0.163419742137194,0.00764215365052223,51216,51216,643,169.394630581499
50938000,16851000,0.0797110041603446,0.983284797519445,19660,19660,565,9.56090534129631
86074000,86017000,0.712053605355322,0.226641159504652,77696,77696,73,6.60262754344191
92905000,87912000,0.959291195496917,0.695515878498554,242612,242612,284,2.46753229060781
86685000,86104000,0.342694163322449,0.451919488608837,155208,155208,121,4.04165771928634
103713000,98436000,0.357529016211629,0.741003786213696,280200,280200,464,2.71391857892598
86784000,86727000,0.975247386842966,0.484615703113377,166832,166832,130,3.28508145661246
6717000,13340000,0.728346745483577,0.953242645598948,19048,19048,521,3.22710409432951
85870000,85798000,0.0951268197968602,0.209871233440936,71908,71908,69,9.24703008394361
26165000,24461000,0.148073902353644,0.812351488508284,16264,16264,311,8.8231162614938
229536000,229739000,0.530380144715309,0.0558461332693696,51244,51244,113,24.1121076651949
87103000,86373000,0.766048490069807,0.524469208903611,180688,180688,141,3.17509755956441
86015000,85741000,0.399247490800917,0.281222817488015,96372,96372,85,5.92511908995476
7157000,21558000,0.473326792009175,0.894887716509402,17904,17904,430,4.74045841192296
89976000,89851000,0.855547207407653,0.143233672715724,51436,51436,60,9.7415483939305
89174000,90347000,0.597047504037619,0.674354900605977,234652,234652,245,2.69916323406432
86501000,86009000,0.23032852448523,0.426257078535855,146340,146340,117,4.47010595751343
87675000,86901000,0.0283946702256799,0.591117170639336,204016,204016,169,3.75341813224723
86155000,85998000,0.646149284206331,0.339582365937531,116480,116480,97,4.70937958721474
37948000,10580000,0.901232995092869,0.870707341469824,17412,17412,404,7.53196163344054
104918000,104890000,0.267973018810153,0.122482770122588,51312,51312,65,12.7832796748028
13023000,17168000,0.277272052131593,0.913719688542187,18296,18296,458,4.96499165415961
85759000,85881000,0.893884212709963,0.157533784396946,53964,53964,60,8.90269388299777
87594000,87073000,0.652475727722049,0.626408682204783,216452,216452,194,2.79931872283468
86321000,86338000,0.0201179757714272,0.382354439236224,131324,131324,105,5.77153200996008
86656000,87519000,0.221014219336212,0.608118080534041,210064,210064,193,3.27896030948389
85862000,86108000,0.604411532171071,0.351807274855673,120644,120644,99,4.60936951474195
31444000,10493000,0.849236035719514,0.820685935206711,16396,16396,336,6.99322534934178
167083000,167135000,0.481588240712881,0.0767490835860372,51264,51264,88,18.0898966742009
90097000,89589000,0.391963556408882,0.692576915957034,240420,240420,281,2.79050886252846
86686000,86096000,0.775290301069617,0.441178456880152,151760,151760,124,3.66835490073125
14305000,4803000,0.522038602270186,0.972555269487202,19444,19444,535,3.12587709382332
85747000,85946000,0.154457568190992,0.223705952055752,76612,76612,72,8.24703845064061
17149000,16265000,0.102425996214151,0.761849430389702,15228,15228,231,6.64265716305835
1210031000,1210248000,0.719089658930898,0.0105778397992253,51200,51200,468,119.548172791737
86063000,86459000,0.983573687262833,0.541950770653784,186240,186240,151,2.97136815465066
86148000,85933000,0.35116062592715,0.292982333339751,100392,100392,85,5.83767731862843
86268000,86153000,0.335332998074591,0.519568536430597,178772,178772,149,3.58091111006016
86061000,85748000,0.96860836353153,0.268552500754595,91920,91920,81,5.48108844093769
4851000,12743000,0.703789293766022,0.799677416682243,16020,16020,292,3.41075992109223
251763000,251664000,0.0860193129628897,0.0509339570999146,51240,51240,118,31.8639679228524
57040000,31645000,0.170765665359795,0.965917192399502,19332,19332,581,12.3484317387804
85807000,85922000,0.537500019185245,0.214781977236271,73572,73572,78,7.16469488985213
91661000,92943000,0.790110070258379,0.74590302631259,279592,279592,502,2.3016913561569
86726000,86030000,0.407874273136258,0.49728649482131,170896,170896,142,3.63198564961664
21241000,9710000,0.466622738167644,0.86583337187767,17316,17316,397,5.21904885650988
