"Application_1","Application_2","injection_rate_1","injection_rate_2","duration","performance_metric"
86320000,86439000,0.0219891127198935,0.44896537065506,102,86379500
85875000,85750000,0.268810987938195,0.256281644571573,65,85812500
85679000,85755000,0.233575346879661,0.169232517015189,53,85717000
85874000,85883000,0.0510002830997109,0.237962272018194,63,85878500
85793000,86027000,0.445633816067129,0.336462411098182,77,85910000
86081000,85848000,0.200757432729006,0.39585393993184,90,85964500
209954000,210038000,0.298820666503161,0.0610324111767113,90,209996000
93667000,93675000,0.424421324860305,0.137184242717922,52,93671000
85944000,85787000,0.077113401144743,0.288452107459307,71,85865500
86294000,86410000,0.323431740049273,0.479052950162441,106,86352000
199882000,199912000,0.179065235890448,0.0641217338852584,86,199897000
85764000,85782000,0.49710421776399,0.158566794823855,51,85773000
85811000,85827000,0.00136451981961727,0.259257056284696,66,85819000
85878000,86111000,0.254527375567704,0.442052967846394,99,85994500
117896000,118027000,0.242979097180068,0.108934215269983,60,117961500
85751000,85765000,0.120765815488994,0.216343671549112,60,85758000
86272000,86281000,0.382596381474286,0.365893512498587,84,86276500
86523000,86322000,0.126953972503543,0.433105229400098,91,86422500
801790000,801936000,0.373464239295572,0.0159686207771301,277,801863000
166828000,166825000,0.411599695216864,0.0768937501125038,77,166826500
85960000,86077000,0.493646936956793,0.29520313674584,73,86018500
85844000,85911000,0.30890992237255,0.231299520935863,62,85877500
86234000,85968000,0.110376742202789,0.49977899203077,111,86101000
161156000,161138000,0.0805114912800491,0.0796141494065523,74,161147000
85928000,86120000,0.2804179568775,0.315038789995015,77,86024000
102827000,102857000,0.462927197571844,0.125037973746657,55,102842000
86231000,85970000,0.147819256875664,0.393639267422259,90,86100500
85933000,85864000,0.0618846327997744,0.26223896862939,67,85898500
415210000,415255000,0.361369480844587,0.0308514717034996,144,415232500
86255000,86030000,0.42885833280161,0.465850651729852,103,86142500
85835000,85715000,0.244578774552792,0.201264090370387,57,85775000
735626000,735644000,0.220695457886904,0.0174071723595262,257,735635000
85825000,85941000,0.418615419883281,0.252735016867518,67,85883000
85844000,85814000,0.35305001726374,0.187852931208909,56,85829000
85879000,86262000,0.0359555729664862,0.456311652436852,105,86070500
86007000,85902000,0.137522826436907,0.325062512885779,77,85954500
137235000,137271000,0.438990363385528,0.093517177272588,66,137253000
86038000,85980000,0.254557673353702,0.403635095339268,92,86009000
92524000,92482000,0.0722608040086925,0.138966989237815,50,92503000
86039000,85951000,0.10404108511284,0.281299881637096,71,85995000
86672000,86535000,0.0675267116166651,0.454661516007036,104,86603500
85826000,85893000,0.157089147716761,0.183658294379711,55,85859500
86081000,85845000,0.452393459621817,0.287325671408325,70,85963000
123117000,123183000,0.196315401233733,0.104301102925092,61,123150000
86321000,86011000,0.412708863150328,0.485251193866134,110,86166000
85743000,85843000,0.315808837302029,0.153715405147523,50,85793000
85833000,85829000,0.043917256873101,0.257140320725739,66,85831000
86025000,85876000,0.15504140779376,0.37861226638779,89,85950500
512156000,512274000,0.485690797213465,0.0250042667612433,186,512215000
86191000,86169000,0.270167097449303,0.36337503278628,84,86180000
85705000,85740000,0.120351529214531,0.232608038932085,61,85722500
85932000,86028000,0.359805145766586,0.214456670451909,60,85980000
85791000,86048000,0.0311699500307441,0.314158907160163,75,85919500
296892000,296939000,0.24422170734033,0.0431556287221611,117,296915500
85904000,85860000,0.396051409654319,0.427828398533165,96,85882000
85791000,85877000,0.288776543457061,0.299703599419445,74,85834000
85782000,85796000,0.0704909656196833,0.16484774556011,52,85789000
86255000,85891000,0.169740826357156,0.44268790865317,98,86073000
137782000,137851000,0.439740350469947,0.0931687690317631,66,137816500
85766000,85767000,0.191458103712648,0.269115353003144,69,85766500
86254000,86056000,0.0847378778271377,0.386591263581067,88,86155000
86007000,85911000,0.396455267444253,0.259924300014973,67,85959000
117352000,117375000,0.207933226600289,0.109374493360519,60,117363500
182557000,182613000,0.363049319479614,0.0702553410083055,81,182585000
86019000,85957000,0.0496487529017031,0.283352890983224,67,85988000
86057000,85989000,0.486247173510492,0.40997431660071,91,86023000
85768000,85801000,0.172847441397607,0.19338238472119,56,85784500
358201000,358296000,0.110461595933884,0.0357659640721977,137,358248500
86007000,85942000,0.296909156721085,0.313757236581296,75,85974500
86031000,85878000,0.237507523968816,0.438227172009647,97,85954500
85774000,85989000,0.423954011872411,0.161532777361572,51,85881500
86136000,86130000,0.185254753101617,0.304372060112655,73,86133000
159344000,159359000,0.496731758583337,0.0805474771186709,75,159351500
85835000,85795000,0.0621131667867303,0.206588830333203,59,85815000
85970000,86149000,0.373591245152056,0.428078699391335,97,86059500
86200000,86510000,0.436937441583723,0.332777472678572,79,86355000
267345000,267436000,0.248507191892713,0.047934899572283,107,267390500
85822000,85713000,0.309835243970156,0.17274028994143,53,85767500
86544000,86405000,0.121404159814119,0.458208354189992,101,86474500
86122000,86009000,0.464348294306546,0.497292637825012,112,86065500
170859000,170918000,0.205223796423525,0.0750838480889797,77,170888500
85873000,85749000,0.372987311799079,0.184355458710343,55,85811000
85849000,86108000,0.00829151691868901,0.352912107482553,82,85978500
119985000,119894000,0.310310047585517,0.107125453650951,60,119939500
86220000,86436000,0.0706028086133301,0.429764453787357,98,86328000
85848000,85795000,0.476174702402204,0.320500476285815,76,85821500
85784000,85819000,0.142668364103884,0.153896825853735,51,85801500
86068000,86125000,0.341044679749757,0.483400117140263,107,86096500
223866000,223851000,0.0397610892541707,0.0572742139920592,96,223858500
85886000,85954000,0.382207581307739,0.197767225559801,56,85920000
85970000,85910000,0.237230719532818,0.280414969660342,71,85940000
